код	цена	количество
66917	2300	1
51654	2100	1
54518	2700	1
44194	2400	1
69901	344	1
72150	404	2
65260	694	2
46892	412	1
65507	291	2
35554	60	10
73098	236	2
71001	2000	1
72926	750	1
32129	990	2
31661	870	2
31661	870	1
66109	1160	2
66109	1160	1
55088	90	4
58773	90	3
27812	60	8
42334	750	1
42334	750	1
30670	710	6
30670	710	3
53978	890	2
53978	890	1
54874	760	2
54874	760	2
72470	2000	1
30577	1800	1
30577	1800	1
65311	280	1
34263	250	1
27819	364	3
52212	507	2
41038	499	5
41038	499	2
65874	2500	1
72900	120	1
60483	360	1
71338	530	1
73025	400	2
57793	510	1
70319	239	2
72969	150	2
70016	138600	1
70014	96140	1
70015	117040	1
61125	61600	3
61895	72380	1
31983	1400	1
30999	160	3
30999	163	1
63716	3080	5
65034	5692	3
32973	673	2
30906	650	3
72899	292600	1
64525	273780	1
51251	140140	1
63157	26180	2
31028	159	2
31126	1320	1
31369	840	1
63564	13090	2
41040	380	4
30585	290	5
31706	618	1
30893	1200	1
59840	99880	1
62216	69000	1
73163	400	1
72270	350	2
72757	600	1
27824	820	1
70784	2000	1
55943	2670	1
71914	1000	1
72084	910	1
72085	1050	1
72086	790	1
72087	1020	1
69368	900	1
69368	900	1
71818	135	2
37113	100	2
72552	100	1
65607	600	2
44690	750	1
44690	890	1
72202	320	2
49322	1100	2
70986	217	3
60906	83	5
60906	83	4
69537	600	2
51940	670	1
66810	277	2
71379	533	1
54662	340	3
54662	340	1
54662	340	1
40856	140	3
40949	600	2
69294	3700	1
52432	650	2
66571	870	3
48163	150	1
73009	1500	1
73009	1500	1
33765	400	1
64472	410	12
72630	2300	1
54357	2600	1
54357	2600	1
36520	80	1
59093	490	1
70371	490	1
70699	247	1
71402	1180	1
69215	580	1
70140	850	1
70140	850	1
70140	850	1
45431	850	2
57180	1080	1
27845	1100	1
53203	782	1
54551	1102	1
54551	1102	1
54551	1621	3
66396	1400	2
63083	4000	1
73267	2380	2
67222	1370	1
68549	2670	1
68549	2670	1
67375	1450	1
73334	4300	1
71090	1060	3
60186	980	1
73105	1650	1
66142	150	5
57096	2820	1
57096	3221	1
70304	2050	1
70594	1900	1
71454	1007	1
72439	500	2
63336	28500	3
70018	267	3
70018	269	1
60862	220	2
65856	340	1
62311	300	2
65369	180	2
37902	70	1
52947	334	1
56162	2000	1
56162	2050	1
65633	960	1
70798	130	1
70798	150	2
65965	740	2
33988	100	1
42589	840	1
70828	118	2
66451	1059	1
66451	1362	4
66451	1369	1
62772	470	1
68678	320	1
72007	650	1
72007	650	1
27873	250	2
67261	350	2
67261	350	1
73186	570	2
70954	780	3
66610	480	5
46182	170	1
73274	79	8
35793	100	1
27872	82	1
27872	102	12
71246	68	4
71246	69	1
72662	100	2
69013	600	2
55069	340	2
71581	200	1
56376	35	15
63152	370	1
64946	170	1
37231	1900	1
72091	2850	1
71978	1050	1
66831	550	1
66831	550	1
73312	1000	1
62718	1050	1
27900	850	5
27900	850	1
71380	469	1
71381	239	1
69213	236	1
27901	236	3
30375	139	1
30375	145	2
54652	2550	1
70926	1170	1
27905	17660	2
72358	660	1
70620	1300	1
72179	870	1
70099	716	2
70546	484	1
69551	184	6
69551	187	1
54764	1780	1
27909	1650	1
27910	1650	1
54917	1200	1
70785	916	1
70785	928	1
73281	900	1
73064	240	1
72303	1518	2
70086	890	1
35594	610	1
62564	380	2
62564	380	1
67168	691	3
30317	450	3
30317	450	1
33306	330	1
33306	350	5
70191	330	2
70191	340	8
30506	480	5
60358	370	1
71252	393	1
54850	162	1
47740	159	2
66936	450	3
72810	370	1
27933	950	1
55225	1550	1
57066	460	2
58719	590	1
57526	450	1
63735	410	1
72430	350	1
72430	350	1
38215	2100	2
51538	2550	1
27939	620	5
56174	270	1
61478	650	2
40227	850	1
73042	680	1
41179	900	1
41179	900	1
37591	540	2
44697	1190	1
30465	790	1
62724	850	1
36088	990	1
27940	970	2
27940	970	2
47976	620	2
27942	1100	2
55117	690	2
68833	1005	1
68923	1450	1
27945	338	2
34584	1300	1
49245	820	1
61780	370	3
72469	10296	1
72466	5096	1
72467	16352	1
72465	22362	1
72468	14647	1
73141	600	1
68612	350	2
68612	350	1
72057	1300	1
69327	29	1
72674	134	5
72674	134	2
73180	138	2
71293	79	1
27957	130	1
72514	750	1
60236	1650	2
65924	3300	1
65924	4100	1
61627	3500	1
61628	1800	2
47489	3200	1
57696	6800	1
67633	1410	1
71208	1200	1
71208	1300	1
39231	130	2
36521	70	3
44896	430	1
71917	510	2
69324	100	2
61614	750	1
69067	750	2
45983	1200	2
66681	350	2
66681	500	2
53045	750	1
56218	230	1
71003	1381	1
71003	1385	1
68469	495	2
72008	1370	1
73133	403	1
72165	733	1
64343	404	1
64343	414	1
67355	759	3
55118	1070	1
67555	1042	2
67555	1050	1
73236	380	1
73237	380	1
71418	2440	1
71750	380	1
56167	140	6
56167	140	2
70193	64680	2
72681	1800	2
72681	1800	1
73037	4000	1
70380	150	1
70380	160	2
69349	710	3
60386	310	1
65063	80	8
65063	130	1
71329	120	1
34869	680	1
34869	680	1
71729	580	1
66037	70	3
73151	70	6
73149	70	6
73150	70	6
60731	70	2
61224	70	3
59145	70	5
61225	70	1
61225	70	1
61227	70	5
61227	70	4
61227	70	1
72847	330	1
27982	290	1
69279	990	1
70549	170	4
39002	350	2
45669	1000	1
39487	770	1
70028	24752	1
55723	26070	2
67928	55000	1
52568	150462	1
65290	1030	1
47653	251	3
51574	600	1
28012	250	2
53802	160	2
52463	98496	2
33368	1600	1
54851	800	1
69225	908	1
68631	3800	1
45390	85	11
73299	300	7
43511	300	1
38186	160	4
34818	60	2
70381	20	5
61924	250	2
72921	150	1
69834	150	1
70856	150	1
69990	110	1
71012	130	1
70103	130	2
70209	120	3
72538	200	16
52003	200	1
61936	250	1
64531	70	6
70410	3962	1
72128	1200	1
73107	1400	1
73318	3200	1
73124	2300	1
70534	1950	1
72101	790	1
71339	1410	1
35683	1809	1
52596	6300	1
70036	5200	1
61389	360	1
61157	300	2
72133	990	1
73306	980	1
61158	500	1
61848	540	2
63096	680	3
61620	170	1
61526	200	4
47884	350	1
71709	250	1
72239	200	2
37451	221	3
67919	468	1
42743	820	1
28040	231	3
28041	507	1
71287	124	3
71198	208	1
71433	420	1
72896	840	1
72764	220	1
28049	240	10
28049	240	1
28049	240	1
36121	260	1
36121	350	2
28050	360	2
28050	360	1
28053	359	7
60835	660	13
70362	180	1
65596	150	3
69155	170	1
73156	260	1
28060	80	5
52955	150	3
31716	562	1
68443	61600	1
71931	10780	1
28074	184	1
28074	249	1
28074	251	1
61319	6160	1
62217	246400	1
57013	88010	1
30860	65	1
30860	100	1
44274	1400	1
41187	290	9
50569	240	2
50569	240	2
58101	116	5
58101	116	1
69214	84	10
69214	84	6
50886	55	2
32633	58	1
32633	62	10
72271	753	1
71765	271040	1
68980	90	90
72612	15	7
71414	15	30
55357	1600	2.6E-5
57189	150	1
66920	250	3
72765	250	2
72972	3000	1
61150	1200	1
70711	1950	2
68045	730	5
68045	730	3
66181	140140	1
69651	618734	1
72963	837463	1
72964	426	4
70739	520	2
69668	26180	2
71303	220	2
69360	277	1
69360	278	8
49120	990	2
67831	23885	2
55071	670	3
54157	900	2
54157	950	1
56691	747	2
56691	747	1
55817	913	6
70358	1000	1
72954	200	4
72954	200	1
73132	2500	1
68298	2800	1
73129	2600	1
44244	1746	4
47682	333	3
30608	5629	5
69237	1550	1
73335	1300	5
63679	126	2
65671	130	1
65671	145	5
34002	111	7
34002	112	2
63457	3900	1
46706	650	1
60707	680	1
61766	1700	1
33389	150	3
69475	500	1
69475	780	1
68537	570	1
49097	220	2
46587	130	2
70904	250	2
71629	1316	1
68365	1943	1
28101	142	19
73332	1800	1
72151	1200	1
72151	1200	1
28110	390	1
67538	1100	1
72509	1090	1
55409	3700	1
55410	690	1
55410	950	1
55410	1100	1
55411	800	1
55412	800	1
55413	1300	1
71574	690	1
59825	650	3
64398	20944	1
55119	990	1
49397	1100	1
71586	1900	1
71700	3100	1
54289	1050	2
64617	440	2
32435	1050	1
36879	1000	1
34766	150	1
65424	2500	1
66399	558	1
59887	500	2
71493	350	1
67601	400	2
72930	203280	1
33068	240	1
64165	70	30
64165	70	4
73329	220	10
72647	60	5
72645	153	2
55017	249	1
28127	231	1
33619	600	1
68485	550	1
68485	550	1
65565	84700	2
68441	66000	1
61966	92400	1
58039	749980	1
64613	77000	1
69292	140140	2
30901	180	3
43438	4750	2
41057	3404	1
31246	70	1
31181	510	1
40946	20636	3
67695	233	1
71984	638330	1
61899	13816	5
61900	21560	5
49630	771	4
30739	1035	2
30739	1044	1
